City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Quatre Cocos,-20.2078,57.7625,69.1,71,49,16.37,MU,1627850197
Bluff,-46.6,168.3333,40.8,86,96,8.05,NZ,1627850198
Upernavik,72.7868,-56.1549,43.11,79,26,13.22,GL,1627850198
Butaritari,3.0707,172.7902,83.05,69,13,9.78,KI,1627850199
Sur,22.5667,59.5289,89.65,56,100,14.81,OM,1627850199
Vardø,70.3705,31.1107,55.15,93,75,14.97,NO,1627850035
Matagami,49.7502,-77.6328,62.71,59,20,16.11,CA,1627850200
Kapaa,22.0752,-159.319,82.38,83,90,3.0,US,1627850200
Inhambane,-23.865,35.3833,64.51,76,0,5.57,MZ,1627850136
Kruisfontein,-34.0033,24.7314,55.89,77,84,18.86,ZA,1627850201
Eidfjord,60.4675,7.0719,61.43,70,96,2.53,NO,1627850201
Denia,38.8408,0.1057,78.8,71,100,8.99,ES,1627850201
Bambous Virieux,-20.3428,57.7575,69.22,88,75,10.36,MU,1627850202
Nemuro,43.3236,145.575,65.75,99,100,8.68,JP,1627849989
Koungou,-12.7336,45.2042,73.11,73,0,3.44,YT,1627850203
Marsá Maţrūḩ,31.3525,27.2453,80.37,83,0,14.18,EG,1627850203
Hithadhoo,-0.6,73.0833,80.78,73,87,6.46,MV,1627850204
Saint George,37.1041,-113.5841,97.39,29,1,3.0,US,1627850134
Lagoa,39.05,-27.9833,72.0,95,49,16.8,PT,1627850205
Soloneshnoye,51.6544,84.3197,58.19,70,15,5.84,RU,1627850205
Jamestown,42.097,-79.2353,71.02,73,75,7.0,US,1627850121
Seoul,37.5683,126.9778,76.6,94,90,4.61,KR,1627850425
Hermanus,-34.4187,19.2345,57.9,78,94,4.34,ZA,1627850087
Arlit,18.7369,7.3853,96.13,27,46,11.52,NE,1627850062
Saskylakh,71.9167,114.0833,69.12,49,0,4.27,RU,1627850206
Neuquén,-38.9516,-68.0591,60.69,48,0,2.3,AR,1627849922
Kintampo,8.0563,-1.7306,71.06,92,53,4.0,GH,1627850207
Sisophon,13.5859,102.9737,78.49,79,100,12.1,KH,1627850208
Caniço,32.6333,-16.85,72.23,64,20,8.05,PT,1627850208
Tuktoyaktuk,69.4541,-133.0374,71.6,64,75,13.8,CA,1627850209
Strelka,58.0728,93.0344,57.04,97,97,0.69,RU,1627850209
Chui,-33.6971,-53.4616,50.58,91,25,5.91,UY,1627850209
Ribeira Grande,38.5167,-28.7,75.6,88,40,12.66,PT,1627850210
Yellowknife,62.456,-114.3525,88.32,28,1,1.01,CA,1627850101
Carutapera,-1.195,-46.02,75.96,89,72,3.42,BR,1627850210
Jalu,29.0331,21.5482,89.53,21,5,9.93,LY,1627849991
Talnakh,69.4865,88.3972,55.11,90,100,4.94,RU,1627850211
Jumla,29.2747,82.1838,64.38,93,99,1.01,NP,1627850211
Churapcha,62.0025,132.4325,62.06,41,18,7.65,RU,1627850212
Kushmurun,52.4503,64.6311,71.91,64,9,7.61,KZ,1627850213
Iqaluit,63.7506,-68.5145,53.33,81,90,3.0,CA,1627849971
Hirara,24.8,125.2833,81.12,85,100,8.66,JP,1627850213
Igarka,67.4667,86.5833,54.84,96,96,4.54,RU,1627850214
Amga,60.8953,131.9608,61.97,69,98,2.55,RU,1627850214
Nikolskoye,59.7035,30.7861,64.02,86,7,5.17,RU,1627849942
Yuci,37.6803,112.7319,67.75,68,0,4.47,CN,1627850215
Fort Nelson,58.8053,-122.7002,83.79,45,1,3.44,CA,1627849930
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,58.5,82,100,4.16,RU,1627849993
Mount Gambier,-37.8333,140.7667,42.71,93,5,11.5,AU,1627849991
Bengkulu,-3.8004,102.2655,74.1,90,96,4.54,ID,1627849977
Malé,4.1748,73.5089,84.15,79,75,8.05,MV,1627849939
Coahuayana Viejo,18.7333,-103.6833,90.88,56,6,5.95,MX,1627850216
Kouango,4.9934,19.9619,68.0,95,99,2.15,CF,1627850217
Pangoa,-12.1167,-73.0,80.38,42,33,2.44,PE,1627850218
Sault Ste. Marie,46.5168,-84.3333,73.69,58,40,10.36,CA,1627850081
Yumen,40.2833,97.2,67.59,44,95,7.85,CN,1627850218
Noumea,-22.2763,166.4572,66.99,99,72,7.36,NC,1627850219
Kahului,20.8947,-156.47,83.46,65,20,20.71,US,1627850220
Barcelona,41.3888,2.159,74.97,64,0,5.75,ES,1627850325
Crotone,39.0851,17.1178,85.95,42,0,6.91,IT,1627850115
Talara,-4.5772,-81.2719,74.16,64,1,19.57,PE,1627849921
Vilhena,-12.7406,-60.1458,89.82,22,0,9.22,BR,1627850221
Sechura,-5.5569,-80.8222,75.47,57,8,18.34,PE,1627850230
Emerald,-23.5333,148.1667,57.34,100,0,4.61,AU,1627850230
Nome,64.5011,-165.4064,51.87,87,90,11.5,US,1627850230
Mīnāb,27.1467,57.0801,94.5,64,9,3.0,IR,1627850231
Tiznit Province,29.5833,-9.5,69.64,58,0,2.91,MA,1627850231
Kleive,62.7954,7.6359,52.12,76,90,10.36,NO,1627850232
Port Elizabeth,-33.918,25.5701,59.29,77,40,29.93,ZA,1627850041
Labuhan,-6.8844,112.2051,76.8,76,12,9.91,ID,1627850233
Rocha,-34.4833,-54.3333,47.44,92,3,4.61,UY,1627850112
Olafsvik,64.8945,-23.7142,53.89,92,99,1.21,IS,1627850233
Hong Kong,22.2855,114.1577,85.32,89,98,1.99,HK,1627849994
Cherskiy,68.75,161.3,35.65,90,97,18.84,RU,1627849977
Marrakesh,31.6315,-8.0083,80.67,39,20,12.66,MA,1627850047
Fare,-16.7,-151.0167,76.78,69,62,13.6,PF,1627850234
Half Moon Bay,37.4636,-122.4286,88.59,63,20,11.5,US,1627850235
Mataura,-46.1927,168.8643,40.48,97,73,3.2,NZ,1627850235
Skjervøy,70.0311,20.9714,47.43,71,66,4.25,NO,1627850235
San Quintín,30.4833,-115.95,78.55,59,4,15.48,MX,1627850236
Tagusao,9.1924,117.8141,80.92,78,83,10.8,PH,1627850236
Faanui,-16.4833,-151.75,77.47,69,38,15.12,PF,1627849961
Manta,-0.95,-80.7333,85.78,66,20,11.5,EC,1627850237
Tra Vinh,9.9347,106.3453,78.13,88,47,9.28,VN,1627850237
Upata,8.0086,-62.3989,77.76,88,45,1.01,VE,1627850238
Ilulissat,69.2167,-51.1,57.22,44,0,5.75,GL,1627850238
Makkah al Mukarramah,21.4267,39.8261,87.73,51,16,4.61,SA,1627850238
Los Llanos de Aridane,28.6585,-17.9182,67.75,89,20,18.41,ES,1627850239
Parfino,57.9731,31.6481,62.91,73,100,3.91,RU,1627850239
Ketchikan,55.3422,-131.6461,66.67,72,90,9.22,US,1627849999
Ikalamavony,-21.15,46.5833,55.27,86,39,5.91,MG,1627850240
Severo-Kuril'sk,50.6789,156.125,54.54,77,0,15.1,RU,1627850240
Pevek,69.7008,170.3133,33.15,99,100,12.84,RU,1627850241
Teya,60.3778,92.6267,57.99,77,100,2.04,RU,1627850241
Clyde River,70.4692,-68.5914,43.03,87,90,16.11,CA,1627850071
Dunedin,-45.8742,170.5036,50.81,79,99,15.01,NZ,1627850007
Saint Lawrence,36.0553,14.204,87.21,73,0,1.99,MT,1627850247
Kimbe,-5.5502,150.1429,75.29,88,51,4.25,PG,1627850247
Alghero,40.5589,8.3181,69.89,73,0,2.3,IT,1627850248
Novyy Urgal,51.0736,132.5642,61.97,91,100,3.18,RU,1627850248
Katherine,-14.4667,132.2667,68.32,73,11,0.0,AU,1627850118
Saint-Philippe,-21.3585,55.7679,67.55,75,49,10.04,RE,1627850249
Mount Isa,-20.7333,139.5,58.77,58,20,0.0,AU,1627850250
Dhārchula,29.85,80.5333,72.77,89,98,1.7,IN,1627850250
Sioux City,42.5,-96.4003,81.99,28,1,5.99,US,1627850250
Assiniboia,49.6334,-105.9845,89.51,14,36,4.61,CA,1627850251
Bambanglipuro,-7.95,110.2833,74.84,88,35,6.24,ID,1627850251
Puerto Concordia,2.6221,-72.7572,73.27,81,99,5.66,CO,1627850252
Quryq,43.2,51.65,85.08,30,0,6.91,KZ,1627850252
Venice,27.0998,-82.4543,95.04,70,1,10.36,US,1627850253
La Ronge,55.1001,-105.2842,86.25,28,20,5.75,CA,1627850253
Hamilton,39.1834,-84.5333,80.74,81,28,4.0,US,1627849961
Kudahuvadhoo,2.6708,72.8944,82.44,71,100,7.38,MV,1627850254
Katsuura,35.1333,140.3,82.11,83,2,4.0,JP,1627850254
Talcahuano,-36.7167,-73.1167,58.68,58,0,9.22,CL,1627850243
Torbay,47.6666,-52.7314,71.89,64,40,18.41,CA,1627849958
Bonthe,7.5264,-12.505,76.78,85,99,10.2,SL,1627850255
Henderson,36.0397,-114.9819,97.72,30,1,4.61,US,1627850126
Chicama,-7.8447,-79.1469,64.94,65,3,10.2,PE,1627850256
Chervone,49.9564,28.8645,70.21,75,35,5.95,UA,1627850256
Shingū,33.7333,135.9833,78.91,89,78,3.76,JP,1627850256
Gualaquiza,-3.4,-78.55,63.52,92,98,1.48,EC,1627850257
Hilo,19.7297,-155.09,82.13,70,90,9.22,US,1627850257
Kuril'sk,45.2333,147.8833,57.76,94,100,8.81,RU,1627850258
Caranavi,-15.8167,-67.55,59.2,93,100,1.23,BO,1627850258
Sioux Lookout,50.1001,-91.917,73.78,46,75,9.22,CA,1627850259
Lavrentiya,65.5833,-171.0,40.24,86,100,10.94,RU,1627849998
Qaanaaq,77.484,-69.3632,43.07,80,87,1.32,GL,1627849965
Thompson,55.7435,-97.8558,82.56,34,40,12.66,CA,1627850260
Provideniya,64.3833,-173.3,41.7,89,100,14.76,RU,1627850260
Takoradze,4.8845,-1.7554,75.76,88,12,5.64,GH,1627849996
Taguatinga,-12.3857,-46.5711,82.45,30,14,5.39,BR,1627850261
Kuopio,62.8924,27.677,62.55,77,20,6.91,FI,1627850261
Flin Flon,54.7682,-101.865,82.24,32,1,8.05,CA,1627850262
Kortkeros,61.8106,51.5806,59.0,93,6,5.19,RU,1627850262
Cockburn Town,21.4612,-71.1419,82.11,79,99,18.63,TC,1627850263
Lüderitz,-26.6481,15.1594,66.31,37,0,7.78,NA,1627850081
Norrtälje,59.758,18.705,65.01,71,20,4.27,SE,1627850264
Pingliang,35.5392,106.6861,70.39,49,9,3.11,CN,1627850264
Yeppoon,-23.1333,150.7333,55.18,90,0,4.45,AU,1627850265
Constitución,-35.3333,-72.4167,59.29,59,0,11.92,CL,1627850265
East London,-33.0153,27.9116,62.64,60,24,20.58,ZA,1627850026
Kaitangata,-46.2817,169.8464,43.18,95,22,4.83,NZ,1627850266
Eyl,7.9803,49.8164,83.26,61,38,27.74,SO,1627850074
São Filipe,14.8961,-24.4956,76.03,76,11,8.03,CV,1627850266
San Patricio,28.017,-97.5169,99.32,44,99,16.13,US,1627850267
Laas,46.6166,10.7002,58.08,96,91,6.4,IT,1627850267
Kirakira,-10.4544,161.9205,76.84,80,93,8.37,SB,1627850268
Jacmel,18.2342,-72.5347,98.44,69,76,9.08,HT,1627850043
Arraial do Cabo,-22.9661,-42.0278,75.16,68,20,13.8,BR,1627850269
Komsomol'skoye,55.2567,47.5461,65.82,66,95,2.64,RU,1627850269
Conneaut,41.9476,-80.5542,75.69,66,6,15.23,US,1627850269
Pisco,-13.7,-76.2167,66.25,72,0,10.36,PE,1627850270
Clovis,36.8252,-119.7029,107.11,23,20,1.01,US,1627850051
Saint Paul Harbor,57.79,-152.4072,54.91,88,90,9.22,US,1627850280
Margherita,27.2833,95.6833,74.68,97,16,2.64,IN,1627850280
Deputatsky,69.3,139.9,41.36,76,6,4.72,RU,1627850280
Bogalusa,30.791,-89.8487,96.01,55,75,3.44,US,1627850281
Esperance,-33.8667,121.9,51.64,59,57,23.55,AU,1627849992
Vila Franca do Campo,37.7167,-25.4333,72.01,96,83,8.63,PT,1627849995
Kupang,-10.1667,123.5833,74.61,87,87,8.21,ID,1627850282
Saint-Pierre,-21.3393,55.4781,67.64,72,20,5.75,RE,1627850025
Kuznetsk,53.1167,46.6004,68.45,65,99,1.48,RU,1627850282
Novobiryusinskiy,56.9578,97.7076,55.47,97,100,2.21,RU,1627850283
Savannah Bight,16.45,-85.85,89.65,78,61,18.41,HN,1627850283
La Maddalena,41.2142,9.4083,73.56,67,33,25.93,IT,1627850284
Ahipara,-35.1667,173.1667,56.77,81,64,10.02,NZ,1627850284
Guerrero Negro,27.9769,-114.0611,85.08,52,3,13.35,MX,1627850285
Makakilo City,21.3469,-158.0858,81.68,59,40,17.27,US,1627850285
Elizabeth City,36.2946,-76.2511,81.99,94,75,0.0,US,1627850285
Lompoc,34.6391,-120.4579,89.02,65,1,14.97,US,1627850286
Bethel,41.3712,-73.414,76.82,71,75,6.91,US,1627850026
Ostrovnoy,68.0531,39.5131,48.94,89,15,8.57,RU,1627850286
Nawalgarh,27.85,75.2667,77.25,84,67,12.1,IN,1627850287
Yantzaza,-3.8278,-78.7594,66.92,97,100,1.3,EC,1627850287
Luanda,-8.8368,13.2343,73.4,88,75,8.05,AO,1627850288
Ruwi,23.5996,58.5507,96.49,44,100,6.35,OM,1627850288
Narsaq,60.9167,-46.05,61.02,63,100,4.0,GL,1627850289
‘Āhuimanu,21.4447,-157.8378,82.85,60,20,17.27,US,1627850289
La Rioja,42.25,-2.5,58.78,82,8,1.57,ES,1627850289
Stornoway,58.2093,-6.3865,53.92,76,90,5.75,GB,1627850290
Termez,37.2242,67.2783,82.98,17,0,10.33,UZ,1627850290
Sukhobuzimskoye,56.5,93.2728,56.84,91,100,3.67,RU,1627850291
Marabu,4.4148,114.0089,75.34,94,40,5.75,MY,1627850291
Fairbanks,64.8378,-147.7164,74.1,58,20,3.44,US,1627850293
Mahébourg,-20.4081,57.7,69.26,88,75,10.36,MU,1627850293
Tiksi,71.6872,128.8694,45.91,74,25,5.48,RU,1627850294
Navahrudak,53.6,25.8333,61.14,94,94,5.66,BY,1627850294
Portland,45.5234,-122.6762,95.95,45,40,1.99,US,1627850330
Avarua,-21.2078,-159.775,75.25,94,90,16.11,CK,1627850295
Narón,43.5167,-8.1528,66.69,83,79,7.36,ES,1627850296
Nevinnomyssk,44.6267,41.9453,76.51,57,7,4.83,RU,1627850297
Lehola,59.2925,24.3279,63.81,78,85,7.43,EE,1627850297
Saint-Ambroise,48.5501,-71.3324,72.14,56,78,4.61,CA,1627850298
Zyryanka,65.75,150.85,44.37,65,26,13.02,RU,1627850298
Nokaneng,-19.6667,22.2667,57.67,41,0,7.31,BW,1627850299
Norman Wells,65.282,-126.8329,84.24,34,40,3.44,CA,1627850299
Kaeo,-35.1,173.7833,49.32,94,37,5.39,NZ,1627850299
Watsa,3.0372,29.5355,65.34,90,99,2.89,CD,1627850300
Isangel,-19.55,169.2667,69.78,59,83,11.14,VU,1627850300
Nanortalik,60.1432,-45.2371,49.64,77,100,11.25,GL,1627850301
Seydi,39.4816,62.9137,82.63,11,33,12.12,TM,1627850301
Kavaratti,10.5669,72.642,82.04,77,70,15.75,IN,1627850059
Belaya Gora,68.5333,146.4167,43.23,61,4,7.05,RU,1627850302
Paita,-5.0892,-81.1144,73.96,73,0,18.81,PE,1627850302
Carnarvon,-24.8667,113.6333,50.07,63,0,10.36,AU,1627850303
Ust-Nera,64.5667,143.2,49.86,68,1,4.72,RU,1627850303
Cabedelo,-6.9811,-34.8339,81.27,75,4,20.4,BR,1627850031
Belyy Yar,53.6039,91.3903,55.29,94,0,2.24,RU,1627850304
Santa Maria,-29.6842,-53.8069,65.5,52,20,2.3,BR,1627850305
Sayyan,15.1718,44.3244,62.53,67,98,5.84,YE,1627850306
Buseresere,-3.0236,31.8747,67.1,43,2,2.55,TZ,1627850306
Beringovskiy,63.05,179.3167,46.06,73,44,14.43,RU,1627850306
Yate,51.5407,-2.4184,63.01,77,51,3.8,GB,1627850307
Asău,46.4333,26.4,76.12,90,0,5.08,RO,1627850307
Sitka,57.0531,-135.33,62.49,77,75,5.75,US,1627850318
Sambava,-14.2667,50.1667,68.31,89,94,9.42,MG,1627850318
Iquique,-20.2208,-70.1431,60.84,75,99,5.5,CL,1627850319
Gouré,13.9835,10.2704,89.08,46,43,7.94,NE,1627850319
Dali,25.7,100.1833,61.59,83,29,1.66,CN,1627850319
Fuerte,17.5381,120.3644,80.42,88,100,18.43,PH,1627850320
Aden,12.7794,45.0367,82.87,79,87,5.48,YE,1627850118
Sibu,2.3,111.8167,73.71,100,40,3.0,MY,1627850321
Praia da Vitória,38.7333,-27.0667,75.76,100,90,16.84,PT,1627850321
Namatanai,-3.6667,152.4333,79.18,83,10,6.93,PG,1627850321
Kaka,37.3482,59.6143,83.37,12,31,8.9,TM,1627850322
Loreto,22.2667,-101.9667,81.23,28,13,14.16,MX,1627850323
Chengzhong,30.95,113.55,84.25,78,9,3.31,CN,1627850323
Chifeng,42.2683,118.9636,62.76,78,69,4.79,CN,1627850322
Walvis Bay,-22.9575,14.5053,74.35,17,0,12.66,NA,1627850324
Formosa,-26.1775,-58.1781,73.38,35,0,8.05,AR,1627850328
Buarcos,40.166,-8.8768,69.1,97,89,4.72,PT,1627850328
Meulaboh,4.1363,96.1285,74.84,88,100,3.96,ID,1627850040
Agadez,19.75,10.25,94.14,12,3,8.84,NE,1627850343
Taoudenni,22.6783,-3.9836,103.62,18,99,12.8,ML,1627850343
Andra,62.5147,65.8878,56.88,99,99,3.33,RU,1627850612
Port-Cartier,50.0334,-66.8654,70.02,62,90,5.77,CA,1627850612
Altay,47.8667,88.1167,58.21,55,33,3.71,CN,1627850534
Pangkalanbuun,-2.6833,111.6167,73.09,97,87,2.19,ID,1627850613
Omboué,-1.5746,9.2618,75.2,82,99,9.86,GA,1627850613
Rawson,-43.3002,-65.1023,61.25,32,34,10.51,AR,1627850614
Mahon,39.8885,4.2658,70.36,73,20,4.61,ES,1627850614
Klaksvík,62.2266,-6.589,49.12,83,50,9.46,FO,1627850615
Astoria,46.1879,-123.8313,67.55,80,90,1.01,US,1627850615
Āreka,7.0667,37.7,60.62,80,100,2.3,ET,1627850616
Shenjiamen,29.9576,122.298,79.21,92,100,4.85,CN,1627850616
Mae Ramat,16.984,98.5166,74.1,100,100,3.06,TH,1627850617
Codrington,-38.2667,141.9667,43.05,85,0,15.9,AU,1627850617
Barentu,15.1139,37.5928,70.68,86,100,2.77,ER,1627850618
Kavieng,-2.5744,150.7967,81.64,76,3,9.04,PG,1627850618
Manokwari,-0.8667,134.0833,77.99,82,92,2.77,ID,1627850618
Leningradskiy,69.3833,178.4167,35.55,95,100,18.39,RU,1627850619
Arrondissement d'Ajaccio,42.0,8.9167,73.45,68,0,3.44,FR,1627850619
Kabanjahe,3.1001,98.4908,63.36,97,100,4.81,ID,1627850620
Buin,-33.7333,-70.75,80.92,22,0,1.16,CL,1627850620
Miraflores,19.2167,-98.8083,75.02,58,76,4.76,MX,1627850621
Alice Springs,-23.7,133.8833,53.15,62,96,6.91,AU,1627850621
Cossato,45.5739,8.1817,68.38,84,4,6.64,IT,1627850622
Tevaitoa,-16.7833,-151.5,77.07,69,52,14.14,PF,1627850622
Gryazovets,58.88,40.2525,59.0,98,59,8.23,RU,1627850623
Zilair,52.2332,57.4392,64.09,54,99,1.28,RU,1627850623
Acapulco de Juárez,16.8634,-99.8901,87.62,70,40,13.8,MX,1627850629
Bodmin,50.4715,-4.7243,58.51,72,90,9.22,GB,1627850630
Ancud,-41.8697,-73.8203,49.53,73,50,4.36,CL,1627850630
Fortuna,40.5982,-124.1573,71.92,67,20,5.01,US,1627850631
Chapais,49.7834,-74.8492,65.98,58,97,9.06,CA,1627850631
Punta Alta,-38.8759,-62.0736,53.92,40,10,8.19,AR,1627850635
Konch,25.9833,79.15,77.43,93,100,16.42,IN,1627850636
Vila,42.0304,-8.1588,56.75,92,100,1.14,PT,1627850636
Tartous,34.889,35.8866,80.89,77,0,5.68,SY,1627850637
Winnemucca,40.973,-117.7357,83.1,36,1,6.91,US,1627850637
Luganville,-15.5333,167.1667,72.25,63,53,5.23,VU,1627850637
Dandong,40.1292,124.3947,70.92,95,100,6.15,CN,1627850638
Saint-François,46.4154,3.9054,62.04,76,0,3.44,FR,1627850638
Ixtapa,20.7,-105.2,90.23,66,20,11.5,MX,1627850557
Itarema,-2.9248,-39.9167,78.98,74,90,13.29,BR,1627850639
Assiut,27.181,31.1837,93.38,16,4,6.91,EG,1627850639
Hay River,60.8156,-115.7999,84.18,42,75,5.75,CA,1627850640
Le Port,-20.9373,55.2919,67.96,66,20,7.85,RE,1627850640
Piaçabuçu,-10.4056,-36.4344,73.67,73,3,13.56,BR,1627850533
Aklavik,68.2191,-135.0107,85.03,34,100,21.61,CA,1627850641
Lata,40.1629,-8.3327,68.04,98,99,2.33,PT,1627850641
Show Low,34.2542,-110.0298,85.71,50,75,11.5,US,1627850354
Cabo Rojo,18.0866,-67.1457,88.0,73,51,5.01,PR,1627850642
Viedma,-40.8135,-62.9967,56.35,39,1,16.02,AR,1627850642
Antalaha,-14.9003,50.2788,66.9,89,100,6.04,MG,1627850643
Shanhecun,44.7,127.2,71.46,99,100,1.34,CN,1627850643
Yankton,42.8711,-97.3973,86.11,32,1,12.66,US,1627850353
Begunitsy,59.5855,29.3176,61.38,93,38,5.5,RU,1627850644
Erdenet,49.0333,104.0833,55.89,99,100,4.65,MN,1627850645
Wakkanai,45.4094,141.6739,67.53,91,100,25.14,JP,1627850645
Khatanga,71.9667,102.5,60.84,75,58,9.37,RU,1627850646
Tres Arroyos,-38.3739,-60.2798,47.79,43,2,5.77,AR,1627850564
Cabo San Lucas,22.8909,-109.9124,100.51,69,79,1.01,MX,1627850452
Mackenzie,55.2999,-123.1698,75.42,60,1,6.91,CA,1627850647
Dudinka,69.4058,86.1778,51.06,96,100,5.88,RU,1627850647
São João da Barra,-21.6403,-41.0511,68.09,66,89,8.37,BR,1627850648
Baiyin,36.5583,104.2081,68.88,37,5,5.06,CN,1627850648
Bhavāni,11.45,77.6833,79.5,68,99,6.8,IN,1627850649
Rechka Vydrino,51.485,104.8461,55.85,100,100,2.13,RU,1627850649
Huaraz,-9.5333,-77.5333,62.33,42,85,5.48,PE,1627850650
Duartina,-22.4144,-49.4039,76.35,48,74,6.33,BR,1627850650
Biak,-0.9131,122.8766,74.84,85,30,5.64,ID,1627850650
Liku,-0.7275,119.8922,74.37,90,51,1.74,ID,1627850651
Adrar,20.5022,-10.0711,96.28,24,33,8.68,MR,1627850651
Kloulklubed,7.0419,134.2556,83.17,79,100,13.02,PW,1627850653
Puerto Escondido,15.85,-97.0667,88.12,62,68,5.77,MX,1627850654
Langxiang,46.95,128.8833,70.79,100,100,1.83,CN,1627850659
Hualmay,-11.0964,-77.6139,67.17,74,11,10.02,PE,1627850660
Ambon City,-3.6954,128.1814,78.71,84,34,5.06,ID,1627850660
Orzhytsya,49.7918,32.7012,75.65,54,24,7.49,UA,1627850661
Kayerkan,69.3497,87.7602,52.48,92,100,3.69,RU,1627850661
Cidreira,-30.1811,-50.2056,57.04,90,84,6.44,BR,1627850661
Nikel,69.4128,30.222,57.38,94,100,7.34,RU,1627850662
Skierniewice,51.9548,20.1584,66.87,93,100,11.07,PL,1627850662
Paysandu,-32.3214,-58.0756,59.43,66,0,5.21,UY,1627850546
Mongoumba,3.6415,18.5936,70.61,95,100,0.49,CF,1627850663
Kiryat Gat,31.61,34.7642,85.41,55,0,3.78,IL,1627850642
